0,Dosa n Curry,Somerville,Massachusetts,2016-04-11 19:06:01.680346,2016-04-11 19:06:01.680346
1,Ritu ki Rasoi,Burlington,Massachusetts,2016-04-11 19:06:01.680347,2016-04-11 19:06:01.680347
2,Udupi Bhavan,Lowell,Massachusetts,2016-04-11 19:06:01.680348,2016-04-11 19:06:01.680348
3,Highline,Seattle/Capitol Hill,Washington,2016-04-11 19:06:01.680349,2016-04-11 19:06:01.680349
4,Plum Bistro/Pantry/Food Truck,Seattle/Capitol Hill,Washington,2016-04-11 19:06:01.680350,2016-04-11 19:06:01.680350
5,Navratna,Stamford,Connecticut,2016-04-11 19:06:01.680351,2016-04-11 19:06:01.680351
6,Healthy Habit Cafe,Fairfield,Connecticut,2016-04-11 19:06:01.680352,2016-04-11 19:06:01.680352
7,Stand Juice Cafe,Fairfield,Connecticut,2016-04-11 19:06:01.680353,2016-04-11 19:06:01.680353
8,Grasshopper,Allston,Massachusetts,2016-04-11 19:06:01.680354,2016-04-11 19:06:01.680354
9,Thai vegan cafe,Chinatown,Massachusetts,2016-04-11 19:06:01.680355,2016-04-11 19:06:01.680355
10,Peace O Pie,Allston,Massachusetts,2016-04-11 19:06:01.680356,2016-04-11 19:06:01.680356
11,Madras Mahal,Manhattan, NewYork,2016-04-11 19:06:01.680357,2016-04-11 19:06:01.680357
12,Pongal,Manhattan, NewYork,2016-04-11 19:06:01.680358,2016-04-11 19:06:01.680358
13,Sticky Fingers,Columbia Circle,DC/Virginia,2016-04-11 19:06:01.680359,2016-04-11 19:06:01.680359
14,Amsterdam Falafel,Dupont Circle,DC/Virginia,2016-04-11 19:06:01.680360,2016-04-11 19:06:01.680360
15,Bollywood Bistro,Niagara Falls,Buffalo/NYC,2016-04-11 19:06:01.680361,2016-04-11 19:06:01.680361
16,Punjabi Hut,Niagara Falls,Buffalo/NYC,2016-04-11 19:06:01.680362,2016-04-11 19:06:01.680362
17,True Bistro,Davis Square,Massachusetts,2016-04-11 19:06:01.680363,2016-04-11 19:06:01.680363
18,Fomu,Allston,Massachusetts,2016-04-11 19:06:01.680364,2016-04-11 19:06:01.680364
19,Saravana Bhavan,Manhattan,New York,2016-04-11 19:06:01.680365,2016-04-11 19:06:01.680365
20,Taco Party Truck,Changing locations,Massachusetts,2016-04-11 19:06:01.680366,2016-04-11 19:06:01.680366
21,The Root,Allston,Massachusetts,2016-04-11 19:06:01.680367,2016-04-11 19:06:01.680367
22,Veggie Grill,Irvine,California,2016-04-11 19:06:01.680368,2016-04-11 19:06:01.680368
23,India Sweets and Spices,Los Angeles,California,2016-04-11 19:06:01.680369,2016-04-11 19:06:01.680369
24,Veggos,Irvine,California,2016-04-11 19:06:01.680370,2016-04-11 19:06:01.680370
25,Wheel of life,Irvine,California,2016-04-11 19:06:01.680371,2016-04-11 19:06:01.680371
26,Masaos Kitchen,Waltham,Massachusetts,2016-04-11 19:06:01.680372,2016-04-11 19:06:01.680372
27,Cocobeet,Boston,Massachusetts,2016-04-11 19:06:01.680373,2016-04-11 19:06:01.680373
28,Dosa Temple,Ashland,Massachusetts,2016-04-11 19:06:01.680374,2016-04-11 19:06:01.680374
29,Seabirds Kitchen,Irvine,California,2016-04-11 19:06:01.680375,2016-04-11 19:06:01.680375
30,Belmonts Vegetarian,Worcester,Massachusetts,2016-04-11 19:06:01.680376,2016-04-11 19:06:01.680376
31,Loving Hut,Worcester,Massachusetts,2016-04-11 19:06:01.680377,2016-04-11 19:06:01.680377
32,Vatan,Manhattan,New York,2016-04-11 19:06:01.680378,2016-04-11 19:06:01.680378
33,Kailash Parbat,Manhattan,New York,2016-04-11 19:06:01.680379,2016-04-11 19:06:01.680379
34,Pressed,Beacon Hill,Massachusetts,2016-04-11 19:06:01.680380,2016-04-11 19:06:01.680380
35,Tiffin Wallah,Manhattan,New York,2016-04-11 19:06:01.680381,2016-04-11 19:06:01.680381
36,Revolution Juice,Prudential,Massachusetts,2016-04-11 19:06:01.680382,2016-04-11 19:06:01.680382
37,Mother Juice,Kendall Square,Massachusetts,2016-04-11 19:06:01.680383,2016-04-11 19:06:01.680383
38,O2 Vegan cafe,Harvard Square,Massachusetts,2016-04-11 19:06:01.680384,2016-04-11 19:06:01.680384
39,Pizza Pi,UDistrict,Washington,2016-04-11 19:06:01.680385,2016-04-11 19:06:01.680385
40,Vege Nation,Las Vegas,Nevada,2016-04-11 19:06:01.680386,2016-04-11 19:06:01.680386
41,Veggie Grill,Downtown Seattle,Washington,2016-04-11 19:06:01.680387,2016-04-11 19:06:01.680387
42,Travelers Thali House,Beacon Hill,Washington,2016-04-11 19:06:01.680388,2016-04-11 19:06:01.680388
43,Pabla Indian Cuisine,Renton,Washington,2016-04-11 19:06:01.680389,2016-04-11 19:06:01.680389
44,Wayward Vegan Cafe,UDistrict,Washington,2016-04-11 19:06:01.680390,2016-04-11 19:06:01.680390
45,Araya's,UDistrict,Washington,2016-04-11 19:06:01.680391,2016-04-11 19:06:01.680391
46,Chaco Canyon Organic Cafe,West Seattle,Washington,2016-04-11 19:06:01.680392,2016-04-11 19:06:01.680392
47,Thrive,UDistrict,Washington,2016-04-11 19:06:01.680393,2016-04-11 19:06:01.680393
48,Chaat House,Bellevue,Washington,2016-04-11 19:06:01.680394,2016-04-11 19:06:01.680394
49,Udupi Cafe,Bellevue,Washington,2016-04-11 19:06:01.680395,2016-04-11 19:06:01.680395
50,Apron Bakery,Fremont,Washington,2016-04-11 19:06:01.680396,2016-04-11 19:06:01.680396
51,Georgetown liquor company,Georgetown,Washington,2016-04-11 19:06:01.680397,2016-04-11 19:06:01.680397
52,Bombay House,Bellevue,Washington,2016-04-11 19:06:01.680398,2016-04-11 19:06:01.680398
53,Mighty O Donuts,Ballard,Washington,2016-04-11 19:06:01.680399,2016-04-11 19:06:01.680399
54,No Bones Beach Club,Ballard,Washington,2016-04-11 19:06:01.680400,2016-04-11 19:06:01.680400
55,Seattle cookie counter,Ballard,Washington,2016-04-11 19:06:01.680401,2016-04-11 19:06:01.680401
56,,,,,
